time(s),x,y
8.8,504,748
8.83,530,753
8.87,556,758
8.9,584,763
8.93,611,769
8.97,641,774
9.0,668,780
9.03,697,785
9.07,725,789
9.1,755,796
9.13,783,802
9.17,812,807
9.2,841,813
9.23,871,819
9.27,901,825
9.3,930,832
9.33,960,839
9.37,990,845
9.4,1021,851
9.43,1051,858
9.47,1082,864
9.5,1113,871
9.53,1145,878
9.57,1176,884
9.6,1207,893
9.63,1239,900
9.67,1271,906
9.7,1304,913
9.73,1335,922
9.77,1369,929
9.8,1402,936
9.83,1434,945
9.87,1468,952
9.9,1502,961
9.93,1535,968
9.97,1570,976
10.0,1604,985
10.03,1638,993
10.07,1674,1002
10.1,1708,1009
10.13,1744,1018
10.17,1779,1027
10.2,1815,1036
10.23,1851,1046
10.27,1888,1055
10.3,1924,1063
10.33,1956,1084
10.37,1999,1083
10.4,2037,1093
